Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear
L,299.7,330.037037,1386,46.6,2
L,300.8,335.2222222,1432,45.8,6
L,303.9,340.037037,1759,28.4,74
H,301.8,331.1481481,1441,46.3,100
L,298.2,323.0,1424,47.6,179
L,300.2,329.6666667,1415,49.6,21
M,297.3,323.0,1599,32.9,58
L,298.0,322.6296296,1362,56.8,216
L,302.6,334.4814815,1609,36.0,162
L,297.3,323.3703704,1384,39.6,144
M,301.4,331.5185185,1639,29.8,127
L,301.2,330.4074074,1390,49.9,74
M,300.3,335.2222222,1319,51.4,170
L,302.2,333.7407407,1602,32.8,120
L,297.4,322.2592593,1471,46.5,25
L,300.6,327.4444444,1409,42.4,57
L,297.7,323.0,1289,51.3,82
L,298.2,325.5925926,1350,52.0,136
L,298.8,328.5555556,1320,47.4,210
M,301.8,332.2592593,1346,44.6,142
M,300.7,335.2222222,1701,30.8,44
M,303.6,336.3333333,1645,35.7,81
L,297.8,318.9259259,1412,50.7,24
M,299.8,325.5925926,1268,58.0,90
M,299.5,331.5185185,1424,41.3,101
M,297.4,324.4814815,1325,62.4,204
M,296.2,317.0740741,1526,42.3,129
M,298.2,325.962963,1332,60.2,147
L,303.0,333.7407407,1466,43.0,210
M,303.5,338.5555556,1642,29.4,18
L,301.3,332.6296296,1542,35.1,204
M,301.8,330.037037,1409,52.5,26
L,298.3,326.7037037,1378,52.3,12
L,303.6,337.8148148,1781,28.7,124
L,300.6,334.8518519,1964,21.4,15
L,300.9,330.037037,1446,44.5,135
M,298.7,327.0740741,1394,46.0,113
H,299.1,322.6296296,1424,43.4,16
M,298.6,328.9259259,1541,36.9,12
L,296.6,320.037037,1498,41.1,80
M,297.0,320.4074074,1498,47.1,199
L,298.3,326.3333333,1558,37.2,73
L,296.6,319.6666667,1557,35.1,60
L,298.2,325.5925926,1569,35.2,199
M,300.6,332.2592593,1702,30.3,91
H,299.1,324.4814815,1566,46.6,192
H,301.2,331.5185185,1656,26.2,64
L,304.1,340.037037,1408,45.3,28
M,298.1,320.4074074,1419,47.4,142
M,301.8,329.6666667,1609,34.2,217
M,301.0,329.2962963,1681,27.4,212
L,300.4,335.2222222,1515,47.4,170
L,301.9,332.2592593,1799,24.2,54
M,300.4,335.5925926,1442,45.1,0
L,298.3,324.4814815,1454,49.0,166
L,297.6,318.1851852,1496,39.2,12
L,299.4,330.4074074,1509,40.6,175
L,301.8,332.6296296,1529,41.6,12
M,300.0,326.3333333,1932,21.8,135
H,298.8,327.4444444,1516,40.2,152
L,297.4,324.4814815,1353,49.4,188
M,302.3,332.6296296,1546,35.5,70
M,297.3,323.0,1434,44.8,21
M,302.5,330.4074074,1581,32.7,181
M,301.0,331.5185185,1497,37.6,116
L,297.3,324.1111111,1531,36.7,116
M,302.5,336.3333333,1447,45.7,210
M,300.6,331.5185185,1654,32.0,180
L,300.5,327.8148148,1887,24.3,28
L,298.8,323.0,1737,27.7,130
M,297.2,321.5185185,1765,31.1,191
L,298.0,319.6666667,1618,35.2,31
M,297.2,323.0,1378,41.9,97
M,297.6,323.0,1398,41.9,215
M,301.8,331.5185185,1309,43.3,68
M,303.5,334.8518519,1573,34.0,134
H,299.3,325.2222222,1508,35.0,70
L,301.1,337.4444444,1595,31.9,134
M,299.3,325.2222222,1420,41.6,155
L,302.0,333.3703704,1420,45.8,192
L,297.6,327.0740741,1617,36.2,42
M,303.9,340.037037,1475,41.0,11
L,300.1,325.962963,1421,42.5,61
H,299.4,326.3333333,1534,37.5,39
L,300.9,331.5185185,1427,44.1,141
L,302.2,331.1481481,1462,43.6,0
L,299.3,331.1481481,1443,45.7,97
M,299.1,324.8518519,1397,52.4,112
M,299.6,325.962963,1651,30.8,92
L,300.1,327.4444444,1760,25.4,55
M,302.4,333.3703704,1330,58.6,201
M,300.2,334.1111111,1570,35.3,138
L,299.1,330.037037,1459,46.7,84
L,299.4,331.5185185,1426,45.7,213
M,299.9,330.4074074,1820,26.6,175
M,300.4,336.3333333,1596,30.4,191
L,296.7,321.8888889,1450,40.9,195
H,300.6,336.7037037,1354,46.9,138
H,299.9,327.4444444,1462,51.0,119
M,297.9,325.5925926,1338,49.6,56
L,297.7,321.8888889,1734,30.7,177
L,297.8,328.5555556,1351,49.0,181
L,298.3,327.4444444,1420,44.1,197
M,296.3,318.9259259,1368,49.5,10
L,300.1,327.0740741,1450,40.1,100
M,298.0,319.6666667,1427,45.1,95
L,299.9,325.962963,1560,38.9,180
L,298.3,325.5925926,1904,20.3,140
L,300.0,330.7777778,1412,52.4,142
M,302.4,330.037037,1378,54.3,165
L,297.8,320.7777778,1396,42.5,23
L,301.5,328.1851852,1549,38.5,81
L,300.5,330.7777778,2633,12.2,17
L,302.3,336.3333333,1398,43.3,171
M,299.7,329.6666667,1440,42.8,30
L,297.3,322.2592593,1396,52.7,212
L,300.5,327.4444444,1390,48.4,194
L,297.3,322.2592593,1896,24.4,47
L,302.8,331.1481481,1470,41.1,205
M,301.2,331.5185185,1527,41.1,53
M,298.9,328.1851852,1836,22.8,18
M,302.6,330.7777778,1542,39.9,184
M,300.2,335.5925926,1748,28.5,184
M,298.3,322.6296296,1379,48.0,181
L,301.1,331.8888889,1521,41.0,99
L,296.6,320.037037,1671,28.8,108
L,303.0,332.6296296,1359,44.2,115
H,296.4,319.6666667,1403,52.8,94
L,300.0,330.7777778,1606,33.5,135
L,298.8,331.1481481,1803,25.4,209
M,298.4,320.7777778,1617,31.6,173
M,300.3,333.7407407,1506,40.7,98
M,298.3,326.3333333,1376,57.0,198
H,298.9,325.962963,1379,50.7,106
M,302.4,329.2962963,1379,48.9,107
L,301.1,327.4444444,1501,36.1,156
L,301.7,331.5185185,1532,39.8,92
M,299.6,331.1481481,1633,34.2,151
L,300.3,335.2222222,1989,22.3,121
M,297.7,325.2222222,1636,29.7,32
L,303.9,338.9259259,1789,24.4,163
L,302.4,329.6666667,1400,53.7,175
L,297.0,321.1481481,1595,31.7,170
M,300.4,327.8148148,1685,32.3,167
M,302.0,330.4074074,1567,36.4,114
L,302.3,335.2222222,1510,38.7,141
M,299.9,327.4444444,1489,41.7,56
L,299.1,328.5555556,1586,36.6,215
M,300.2,329.6666667,1429,43.8,54
M,298.5,325.2222222,1741,28.0,21
M,302.0,331.1481481,1392,60.5,10
M,303.4,339.2962963,1622,35.1,107
M,301.4,330.7777778,1563,39.9,83
L,301.4,330.4074074,1436,49.7,108
L,298.1,320.7777778,1413,54.1,113
H,301.5,331.8888889,1474,38.7,58
L,299.2,330.7777778,1705,29.5,95
L,300.2,328.1851852,1557,33.8,19
M,296.2,318.9259259,1451,42.8,11
M,301.5,331.1481481,1638,31.9,137
L,301.7,333.7407407,1584,38.8,132
M,302.2,331.1481481,1355,51.5,126
M,297.1,320.7777778,1443,43.9,137
M,300.4,334.4814815,1750,27.3,116
L,298.2,322.2592593,1478,50.1,166
L,302.4,332.6296296,2211,15.4,203
M,300.7,331.8888889,1486,41.2,71
H,301.4,330.7777778,1536,39.9,201
L,297.4,323.0,1343,40.0,61
L,296.6,319.6666667,1439,45.5,199
L,302.2,335.5925926,1618,36.0,158
L,297.9,319.6666667,1602,38.3,21
L,304.4,342.2592593,1569,38.4,11
H,299.7,325.962963,1691,27.7,203
L,299.3,325.5925926,1531,37.9,127
L,299.5,326.3333333,1523,41.5,181
M,299.8,327.4444444,1346,53.2,95
L,296.3,318.1851852,1419,48.6,142
L,299.4,325.962963,1552,37.4,37
M,299.0,330.037037,1635,34.5,168
M,302.3,332.6296296,1578,33.5,158
L,300.0,328.5555556,1507,41.4,74
L,299.2,323.3703704,1515,39.8,141
L,300.5,335.962963,1432,43.1,16
M,304.3,341.5185185,1482,43.8,41
M,297.6,322.6296296,1467,36.7,68
L,300.4,334.1111111,1309,55.5,71
L,301.2,328.5555556,1984,19.7,169
L,303.8,339.2962963,1443,40.7,145
L,303.6,337.4444444,2168,17.7,219
H,300.1,334.1111111,1518,46.9,87
M,303.9,340.037037,1620,36.6,80
L,299.0,323.7407407,1429,37.7,126
L,302.6,335.5925926,1627,31.8,23
M,300.0,327.0740741,1425,40.8,178
L,297.4,325.5925926,1478,49.8,150
L,300.0,330.4074074,1505,44.9,133
M,300.8,330.4074074,1288,64.0,3
M,300.6,329.6666667,1478,40.1,5
L,301.1,329.6666667,1496,43.4,54
H,300.0,329.2962963,1714,28.7,55
H,297.9,320.4074074,1618,35.9,92
M,298.5,327.8148148,1523,44.6,83
M,296.7,321.1481481,1874,21.3,130
L,303.8,338.5555556,1577,41.3,134
M,300.2,328.1851852,1487,39.2,122
L,298.9,330.4074074,1739,26.3,30
L,296.2,318.1851852,1444,46.7,194
L,297.3,324.1111111,1492,43.6,189
M,298.6,326.7037037,1774,27.5,154
L,302.6,336.7037037,1499,35.0,215
L,295.6,314.8518519,1612,31.2,131
L,299.6,332.6296296,1554,36.3,62
L,300.0,326.3333333,1364,41.2,104
L,298.9,329.2962963,1394,42.7,179
L,300.2,334.4814815,1500,40.8,17
M,302.4,335.962963,1313,55.7,102
L,297.5,323.3703704,1446,41.9,32
L,303.7,338.5555556,1396,44.1,136
L,298.1,323.7407407,1354,53.9,207
L,300.5,327.4444444,1760,30.6,213
L,301.4,331.1481481,1550,36.8,159
L,302.4,332.6296296,1475,47.9,79
L,299.5,328.9259259,1594,35.1,54
L,300.8,336.3333333,1477,37.3,164
M,303.7,337.8148148,1474,38.8,139
L,301.7,333.3703704,1521,36.7,130
L,300.6,331.5185185,1440,52.5,200
L,303.4,334.8518519,1564,41.9,137
L,297.2,323.7407407,1366,50.4,74
L,300.0,334.4814815,1601,36.9,35
M,302.3,334.4814815,1316,47.2,4
M,298.0,321.1481481,1417,51.0,137
M,302.0,330.7777778,1823,25.1,87
H,299.0,329.2962963,1432,50.0,45
M,298.3,320.4074074,1602,33.4,106
M,297.1,321.1481481,1609,38.9,166
L,301.0,334.8518519,1440,43.3,131
M,303.8,340.037037,1789,23.5,215
L,301.3,331.1481481,1436,44.2,76
L,302.4,331.1481481,1445,40.3,162
L,298.2,324.1111111,1408,40.0,9
H,300.7,330.037037,1369,50.7,12
M,300.8,331.8888889,1415,44.5,87
L,299.1,329.2962963,1416,41.2,185
M,302.3,332.6296296,1526,37.7,171
L,300.1,329.2962963,1569,43.5,17
M,299.3,325.5925926,1376,46.7,49
L,299.8,330.4074074,1698,28.3,103
L,298.4,321.8888889,1598,32.7,94
L,300.4,327.8148148,1679,30.1,136
L,298.8,328.1851852,1461,39.4,141
M,301.4,331.5185185,1368,63.7,92
L,298.0,322.2592593,1348,58.8,202
L,300.2,327.8148148,1771,27.1,104
L,297.0,320.7777778,1683,32.3,197
L,299.5,326.3333333,1382,61.0,140
L,302.7,337.0740741,1447,47.5,166
M,298.6,329.2962963,1444,48.1,39
M,300.6,328.9259259,1478,36.3,95
M,299.4,325.5925926,1461,48.6,70
L,299.3,326.3333333,1325,62.0,47
M,300.2,329.6666667,1628,30.3,27
L,301.9,333.0,1448,46.3,14
L,303.4,335.2222222,1295,51.3,51
L,300.6,331.8888889,1533,38.5,117
L,300.9,330.4074074,1544,36.0,148
L,300.2,327.0740741,1417,41.1,129
L,298.2,324.4814815,1354,60.9,32
M,300.1,327.4444444,1622,36.1,43
L,298.2,327.8148148,1585,37.4,118
L,299.3,323.7407407,1437,48.1,67
M,298.0,320.4074074,1487,41.3,160
L,303.6,337.4444444,1616,29.3,226
L,297.6,323.0,1353,57.5,88
M,299.3,325.5925926,1600,35.3,52
M,303.4,339.2962963,1526,30.8,37
M,301.7,328.5555556,1457,39.2,192
L,302.8,337.4444444,1504,40.3,204
L,300.4,328.1851852,1549,38.9,150
L,300.7,337.8148148,1470,38.6,56
M,302.0,330.4074074,1608,33.1,97
L,298.5,329.2962963,1809,28.9,20
H,299.4,331.8888889,1585,31.4,149
L,298.5,329.6666667,1676,32.7,18
L,298.4,325.962963,1692,29.8,137
L,301.5,330.7777778,1927,22.4,149
H,302.9,337.4444444,1417,48.7,26
L,299.2,330.4074074,1472,43.3,32
L,301.8,333.3703704,1822,26.2,204
L,298.1,322.2592593,1654,32.1,25
L,300.9,333.3703704,1353,60.4,139
M,300.6,326.7037037,1432,44.2,84
L,298.2,325.2222222,1601,35.8,43
L,301.6,331.1481481,1431,37.5,137
L,300.3,329.6666667,1492,52.3,2
H,302.7,331.8888889,1275,55.0,25
M,302.9,333.0,1926,21.8,58
L,297.4,324.4814815,1473,46.2,167
H,297.4,322.6296296,1502,43.6,169
L,301.0,330.7777778,1317,50.9,75
L,303.1,333.3703704,1452,52.9,11
L,298.3,326.3333333,1337,56.1,206
L,298.8,327.4444444,1903,22.3,145
M,302.2,333.0,1728,34.0,179
L,303.7,338.9259259,1572,37.2,192
L,297.3,323.7407407,1297,45.9,184
L,302.1,334.4814815,1444,44.9,97
H,297.5,327.0740741,1668,27.9,240
H,297.6,325.2222222,1354,55.6,46
H,298.5,326.7037037,1417,41.2,155
L,302.8,333.0,1550,32.3,76
L,301.1,329.2962963,1564,36.8,7
L,300.6,337.4444444,1532,37.2,54
L,296.3,319.2962963,1472,39.9,51
L,298.9,327.8148148,1407,41.9,207
H,301.7,329.2962963,1462,38.3,49
L,297.7,325.962963,1391,44.5,159
L,300.8,331.1481481,1402,53.7,93
L,298.4,322.2592593,1604,34.9,11
L,303.3,333.7407407,1409,51.8,16
M,296.0,316.3333333,1392,51.3,124
L,299.7,325.5925926,1475,40.0,123
M,302.4,329.6666667,1485,45.9,50
L,297.4,326.7037037,1296,52.3,96
M,299.8,331.8888889,1463,43.5,156
L,300.8,330.7777778,1434,44.5,89
H,302.3,329.6666667,1443,54.6,120
L,300.3,334.4814815,1663,33.6,38
L,300.2,325.5925926,1479,47.0,22
L,300.3,334.8518519,1560,37.7,107
L,299.4,331.8888889,1622,33.6,217
L,301.8,333.3703704,1417,55.9,156
L,303.5,335.962963,1565,38.9,12
H,298.8,329.2962963,1567,36.8,197
L,300.3,327.4444444,1593,38.1,140
L,300.9,330.4074074,1445,41.7,180
L,302.9,337.8148148,2030,19.1,192
L,298.6,326.7037037,1375,55.4,145
L,298.2,320.7777778,1575,35.0,137
L,299.1,323.3703704,1647,35.0,74
M,302.7,330.7777778,1398,47.3,70
L,302.8,331.1481481,1670,29.1,2
L,300.6,330.7777778,1470,37.7,98
L,303.4,334.8518519,1449,41.7,132
M,295.4,313.7407407,1518,40.6,178
M,300.6,330.4074074,1407,51.1,157
M,300.9,328.5555556,1465,42.9,209
M,302.4,333.7407407,1312,61.5,85
L,297.6,324.1111111,1476,39.0,44
L,300.5,336.3333333,1461,38.1,39
L,301.5,331.1481481,1522,41.0,114
M,296.9,320.037037,1685,32.0,10
L,300.1,326.3333333,1685,27.1,203
L,304.3,341.8888889,1452,41.5,15
M,298.8,323.3703704,1510,38.7,66
L,301.1,328.9259259,1513,38.0,17
L,300.5,334.8518519,1528,42.4,163
M,302.4,332.2592593,1435,42.3,83
L,301.0,332.6296296,1581,37.0,127
M,295.3,313.3703704,1589,36.2,184
L,301.0,337.4444444,1488,42.6,107
L,302.3,334.1111111,1845,21.9,27
L,298.9,323.3703704,1559,34.3,126
L,301.0,327.8148148,1491,42.9,165
L,301.2,330.4074074,1470,44.0,113
H,298.3,328.9259259,1419,47.1,105
L,300.6,327.4444444,1426,53.6,66
L,298.1,321.8888889,1484,40.4,59
L,297.9,323.7407407,1757,27.5,118
M,299.7,325.2222222,1465,49.0,158
L,298.7,329.2962963,1558,37.6,44
M,303.0,338.9259259,1553,35.8,122
M,300.3,327.4444444,1524,38.4,54
L,297.9,325.5925926,1595,32.0,32
M,297.7,325.2222222,1656,33.2,20
L,301.5,330.7777778,2289,16.4,112
M,299.3,325.5925926,1449,47.9,131
H,302.8,337.8148148,1411,53.8,246
L,302.0,333.0,1635,36.0,23
L,298.9,323.3703704,1503,40.6,145
M,300.7,332.6296296,1559,42.8,121
H,298.5,327.8148148,1561,35.3,208
L,303.7,338.1851852,1433,53.6,185
M,301.7,331.1481481,1691,27.7,105
M,298.9,328.9259259,1348,58.2,163
H,299.1,326.7037037,1811,24.6,77
L,296.6,319.2962963,1389,42.7,48
L,299.1,324.8518519,1445,43.4,197
L,300.1,334.4814815,1659,31.1,203
M,300.5,335.962963,1323,57.9,155
L,298.9,323.0,1301,51.1,138
M,299.2,330.4074074,1502,39.8,34
L,300.7,326.3333333,1580,38.3,102
M,304.0,340.7777778,1437,53.9,7
M,302.4,333.0,1721,30.1,210
L,300.7,331.8888889,1754,27.7,84
L,301.8,327.4444444,1443,42.7,231
L,295.6,314.8518519,1650,28.2,35
L,298.5,327.4444444,1582,40.3,103
L,300.7,329.2962963,1351,46.9,165
M,300.8,331.5185185,1572,36.2,167
H,297.9,319.6666667,1880,23.3,146
L,304.1,340.7777778,1412,47.5,150
H,297.9,324.1111111,1545,35.9,120
M,297.8,320.7777778,1310,57.9,70
M,301.0,331.1481481,1460,53.6,74
H,298.0,320.037037,1593,32.2,118
L,300.4,334.8518519,1332,54.6,111
H,301.2,332.2592593,1798,22.3,59
M,299.0,324.8518519,1449,39.6,105
L,298.0,323.3703704,1461,48.0,68
M,298.1,323.7407407,1425,41.9,11
M,298.9,329.2962963,1442,42.9,153
M,300.8,333.3703704,1592,32.9,82
H,297.5,323.0,1793,23.9,28
M,301.9,332.6296296,1467,48.1,43
H,298.8,329.6666667,1455,44.9,107
H,295.6,314.8518519,1329,55.3,135
L,301.0,334.4814815,1444,39.8,197
M,298.7,328.1851852,1501,44.7,48
L,302.5,330.4074074,1349,55.1,187
M,301.9,333.0,1605,40.0,179
M,300.2,327.0740741,1458,46.9,23
M,302.1,333.7407407,1453,45.1,174
L,301.3,328.9259259,1550,41.5,197
L,302.4,329.2962963,1401,48.8,177
L,297.1,322.6296296,1773,23.8,169
L,302.3,334.4814815,1395,54.2,198
L,303.1,333.3703704,1394,45.3,144
L,299.0,325.5925926,1394,45.1,179
L,301.0,332.6296296,1553,35.8,26
L,300.3,334.4814815,1378,47.5,64
L,296.6,319.2962963,1616,28.0,175
L,301.6,328.5555556,1440,43.4,100
M,302.5,330.4074074,1429,43.2,191
M,298.8,323.7407407,1500,37.1,210
L,300.2,334.4814815,1492,41.8,128
L,299.4,325.5925926,1766,24.6,158
M,302.5,335.962963,1347,54.3,125
M,299.4,325.2222222,1381,44.9,88
L,301.4,331.5185185,1568,35.2,23
M,302.2,333.7407407,1658,31.0,2
L,302.2,334.8518519,1462,50.0,51
L,298.9,329.6666667,1409,54.8,140
H,298.1,324.8518519,1388,53.5,83
L,302.0,332.6296296,1632,34.2,18
M,298.3,323.7407407,1589,37.1,137
L,297.4,322.2592593,1533,37.4,115
L,300.8,336.3333333,1496,40.0,175
M,297.5,324.1111111,1352,53.0,171
M,300.6,327.0740741,1557,33.8,84
L,299.0,329.2962963,1623,33.0,210
L,300.8,331.5185185,1633,27.8,0
M,300.6,331.1481481,1463,45.5,196
L,296.8,321.5185185,1510,39.4,29
L,299.2,324.8518519,1368,47.2,175
L,298.2,325.2222222,1489,40.6,89
L,300.4,328.1851852,1513,32.9,117
M,298.5,326.7037037,1365,48.7,56
L,301.3,330.4074074,1384,50.1,88
L,301.1,327.8148148,1668,30.8,158
L,302.6,331.8888889,1470,41.2,156
L,297.9,325.2222222,1290,49.8,43
M,303.5,336.3333333,1475,42.9,85
H,297.7,324.4814815,1404,50.3,97
H,302.0,330.7777778,1841,23.6,119
M,298.9,327.4444444,1472,46.0,199
L,304.1,341.1481481,1470,39.9,70
L,298.6,327.4444444,1472,39.1,14
L,301.9,330.7777778,1425,51.1,173
M,296.3,318.5555556,1446,45.9,180
L,301.7,330.7777778,1354,50.0,169
M,297.1,323.0,1615,32.6,184
M,295.6,314.8518519,1477,45.0,40
M,299.7,333.3703704,1616,42.3,180
L,303.0,333.3703704,1664,29.8,186
H,296.9,321.1481481,1557,36.5,63
H,301.6,331.1481481,1400,49.5,211
M,300.4,331.1481481,1545,35.6,16
L,302.3,332.2592593,1891,22.7,135
H,298.8,328.1851852,1490,35.9,171
M,304.0,341.8888889,1732,26.2,126
L,302.7,336.7037037,1763,26.5,184
L,299.2,325.2222222,1951,21.4,102
M,298.9,329.2962963,1313,56.8,171
L,299.7,331.1481481,1737,26.1,144
L,300.8,333.3703704,1481,38.5,181
H,298.1,323.3703704,1392,44.8,111
M,298.8,330.7777778,1678,32.8,4
L,304.2,342.2592593,1411,46.0,149
L,300.5,334.4814815,1487,43.0,78
M,298.9,331.1481481,1679,35.8,14
M,298.2,327.0740741,1478,36.5,182
M,298.5,325.962963,1721,29.4,170
H,301.9,332.6296296,1871,26.0,132
M,301.9,334.1111111,1465,39.9,153
M,298.2,326.3333333,2056,18.7,144
L,297.0,320.7777778,1500,39.9,175
L,298.0,324.8518519,1390,53.9,88
L,299.8,325.5925926,1772,24.8,113
H,300.5,326.3333333,1471,45.2,223
H,297.1,321.1481481,1420,39.8,192
L,300.6,335.2222222,1497,43.6,198
L,300.7,335.2222222,1395,43.7,215
L,297.4,323.7407407,1488,36.4,71
L,301.0,337.0740741,1540,34.1,113
L,298.2,321.8888889,1622,34.9,67
H,299.1,329.2962963,1421,41.2,149
L,301.1,333.0,1799,21.7,206
L,300.4,335.962963,1476,48.7,189
M,303.0,333.0,1372,54.3,117
H,301.6,330.4074074,1369,45.4,156
L,295.9,315.5925926,1892,21.7,72
H,302.3,333.7407407,1744,30.3,116
M,300.0,330.7777778,1790,25.7,123
H,298.4,322.2592593,1612,32.6,10
M,298.3,321.1481481,1485,42.0,117
L,297.1,321.1481481,1456,50.0,166
L,304.1,340.4074074,1327,54.1,57
H,297.7,319.2962963,1432,40.2,132
L,297.4,321.5185185,1423,38.0,154
M,298.7,329.2962963,1402,69.7,64
M,300.1,334.1111111,1575,29.8,210
L,301.1,333.0,1570,41.6,202
L,298.7,323.3703704,1668,35.2,77
M,297.4,322.2592593,1424,53.9,120
H,299.6,329.2962963,1531,36.8,62
L,298.1,320.037037,1354,43.3,155
L,302.9,338.1851852,1550,45.5,72
M,300.1,327.0740741,1462,42.8,50
M,297.0,320.4074074,1261,51.1,130
L,298.6,327.0740741,1730,30.2,41
L,302.6,336.7037037,1420,51.6,182
L,300.5,334.8518519,1534,37.7,90
M,298.6,327.0740741,1366,55.0,65
M,302.2,331.8888889,1356,48.3,36
L,302.8,337.0740741,1746,27.4,44
L,298.1,321.1481481,1502,41.8,79
L,298.8,327.4444444,1523,41.9,165
M,301.3,333.0,1834,25.4,22
L,303.8,340.4074074,1422,42.4,152
M,302.5,330.4074074,1509,37.6,45
M,297.5,321.5185185,2033,16.7,128
M,301.9,333.0,1417,52.5,171
L,298.1,320.7777778,1524,40.8,71
L,298.8,325.5925926,1512,40.7,156
M,300.8,336.3333333,1422,50.7,219
L,299.2,330.037037,1507,41.3,158
L,300.6,335.2222222,1428,52.6,208
L,298.2,320.7777778,1423,48.1,183
L,300.5,331.8888889,1445,46.6,155
L,303.7,336.3333333,1892,22.5,79
L,302.4,333.7407407,1392,50.5,51
M,300.1,334.1111111,1342,48.5,203
L,298.4,326.3333333,1409,43.1,166
L,303.3,334.1111111,1658,30.5,7
H,297.5,326.3333333,1525,41.7,235
L,300.8,328.5555556,1312,65.3,192
L,300.7,335.2222222,1910,19.7,13
L,299.4,326.3333333,1377,43.6,28
M,303.4,335.2222222,1353,44.1,192
L,300.4,333.0,1487,37.4,162
M,301.1,333.7407407,1389,53.3,8
L,297.4,322.6296296,1706,30.9,9
M,301.5,333.0,1660,33.8,115
L,297.0,321.8888889,1537,39.0,103
L,299.6,333.0,1679,30.7,129
H,301.2,332.2592593,1598,35.9,71
M,296.9,321.8888889,1483,44.3,219
L,303.9,338.9259259,1339,62.3,156
M,297.2,322.2592593,1678,28.1,133
M,298.2,324.4814815,1607,31.9,39
L,297.2,323.3703704,1513,42.9,212
L,297.2,323.7407407,1924,22.1,163
M,303.1,338.1851852,1766,26.7,157
M,297.2,323.3703704,1364,54.0,43
L,299.3,325.5925926,1495,44.0,55
M,298.6,327.0740741,1426,45.4,38
M,299.8,333.3703704,1745,26.3,150
H,298.7,329.2962963,1435,45.6,37
M,299.2,323.7407407,1367,47.6,168
M,300.5,329.6666667,1386,48.2,225
L,297.0,321.8888889,1429,54.0,138
M,301.7,328.9259259,1391,50.6,195
M,298.0,319.2962963,1463,46.5,182
M,298.6,329.2962963,1458,41.9,61
M,302.1,332.6296296,1574,34.1,215
M,299.9,334.1111111,1337,54.8,32
L,298.9,324.1111111,1433,44.7,108
M,297.5,323.3703704,1699,30.1,40
L,302.5,335.962963,1306,59.7,172
L,297.6,327.0740741,1924,20.6,37
L,300.3,326.3333333,1478,39.5,180
M,304.0,340.4074074,1466,39.5,83
L,297.6,323.7407407,1576,32.7,83
L,299.9,325.962963,1598,34.6,111
L,299.8,327.8148148,1429,42.6,127
L,298.2,320.7777778,1530,35.9,68
M,302.5,336.3333333,1487,46.1,175
M,303.0,333.0,1597,36.7,191
H,301.1,331.1481481,1782,24.9,93
M,300.9,332.2592593,1636,35.3,153
M,296.6,319.6666667,1482,39.9,153
M,303.0,333.7407407,1335,53.6,164
L,299.6,325.2222222,1472,48.8,72
L,301.7,330.7777778,1567,39.1,114
L,296.7,320.4074074,1927,23.9,112
L,300.7,331.8888889,1925,22.0,74
L,299.0,330.037037,1431,39.9,157
M,298.7,323.0,1430,49.6,135
L,297.4,323.0,1328,61.8,98
H,302.0,328.5555556,1447,42.8,185
L,299.6,332.6296296,1574,35.0,133
M,301.5,330.7777778,1503,38.2,200
M,298.9,324.8518519,1750,29.9,50
M,300.5,328.5555556,1552,41.3,116
L,297.3,321.8888889,1506,36.0,150
L,300.7,332.2592593,1521,39.4,61
L,298.0,323.3703704,1404,46.6,201
H,298.0,326.7037037,1562,38.1,58
L,300.9,334.4814815,1505,41.1,129
L,300.9,331.5185185,1477,43.2,143
M,303.8,338.9259259,1919,20.2,131
L,300.6,330.4074074,2514,13.4,215
L,298.0,320.037037,1281,50.8,122
L,300.6,330.037037,1648,30.5,217
L,301.3,332.6296296,1576,30.4,151
L,298.6,328.5555556,1615,28.8,199
H,297.8,325.962963,1648,33.0,29
M,298.6,327.8148148,1280,64.1,71
L,298.1,324.8518519,1367,41.9,113
L,296.5,319.6666667,1566,35.1,206
L,302.2,333.0,1470,39.6,97
L,296.8,321.8888889,1356,48.3,201
L,301.3,330.7777778,1503,48.6,72
L,302.6,336.7037037,1344,51.0,206
L,297.7,324.1111111,1731,28.4,104
L,300.0,326.3333333,1558,29.7,168
M,298.4,327.0740741,1519,35.4,133
L,301.3,331.8888889,1560,38.5,52
L,298.6,327.8148148,1356,54.0,6
L,297.1,320.7777778,1536,40.4,92
M,304.2,341.8888889,1557,37.3,164
L,297.0,320.4074074,1447,46.4,8
L,298.2,323.7407407,1353,54.1,38
L,302.0,331.8888889,1454,36.6,0
H,301.7,329.2962963,1660,29.3,72
M,298.9,324.8518519,1727,27.1,37
M,300.4,334.4814815,1476,32.6,144
M,297.5,323.7407407,1255,60.7,77
L,300.1,325.962963,1427,37.6,73
M,301.5,331.8888889,1385,47.5,30
L,301.7,332.6296296,1715,24.8,17
M,300.5,327.0740741,1691,27.6,67
M,300.7,327.4444444,1996,19.8,203
L,302.9,333.3703704,1751,23.8,196
L,298.6,328.1851852,1370,56.0,0
M,298.8,325.2222222,1592,38.2,169
L,298.1,319.2962963,1608,33.9,193
L,297.2,321.8888889,1431,49.7,210
M,300.5,326.7037037,1347,50.1,213
L,301.2,331.1481481,1437,51.2,112
M,297.4,323.7407407,1522,38.0,33
L,301.0,334.1111111,1484,36.2,188
L,303.6,335.5925926,1695,30.7,90
L,298.4,323.3703704,1741,32.8,112
M,301.6,330.4074074,1377,44.9,161
L,299.5,325.962963,1816,23.0,15
M,301.9,332.2592593,1569,32.5,188
